Adit Tandon,adit.tandon@ryerson.ca,pass1234_,6MED53RYZ,George Georgie,Visa,01-10-202204-05-202209-05-2022,3,18
Vlad Andreuta,vlad@ryerson.ca,password478_,UCM7S85LA,Michael Widianto,Mastercard,04-25-202205-10-2022,2,18
Abishek Tewari,abhishek@ryerson.ca,hellobye__,D6A801VJI,Michelle Vu,Debit,04-29-202205-15-202205-25-202206-25-2022,4,20
Tony Stark,tony@starkindustries.com,billionaire1234_,VD4EXDA6B,Mike Smith,Amex,10-22-202211-04-202212-13-2022,3,20
Clark Kent,clark@dailyplanet.com,supermanpass,BGSNH0V0C,Bradley John,Visa,04-18-2022,1,19
Peter Parker,pparker@dailybugle.com,spidey478__,2GUJ632NW,Michael Widianto,Debit,04-20-202205-10-202206-25-2022,3,18
Natasha Romanoff,natasha@shield.net,blackwidow234,G2NJYODHL,Mike Smith,Mastercard,05-05-202205-13-2022,2,20
Bruce Wayne,bruce@wayneindustries.com,notbatman11,NRNHE1OIF,Michael Widianto,Visa,04-20-2022,1,18
Steve Rogers,rogers@shield.net,cap9999,SP8RRJRSM,Bradley John,Amex,04-25-202205-15-2022,2,19
Stephen Strange,stephen@sorcerersupreme.ca,supreme1_,LGDYPLGPW,Michelle Vu,Amex,06-25-202207-25-202208-20-2022,3,20
Peggy Carter,peggy@shield.net,passing123,TFPVSG7X6,George Georgie,Mastercard,05-15-202206-25-2022,2,18
